gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
OAK201903200,SEA,0,0,5,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,servs002,value,41,31,9,7,1,0,2,9,1,1,2,6,0,10,2,1,0,0,0,27,0,38,9,3,0,3,7,6,3,0,8,0,1,0,0,0,0,0,0,27,11,1,2,0,0,1,0,0,gordd002,hanim001,brucj001,encae001,santd002,narvo001,healr001,beckt001,suzui001,gonzm005,narvo001,brucj001,gordd002,healr001,beckt001,santd002,hanim001,suzui001,encae001,20190320,0,TOK01,v,OAK,1,0,0,regular,y,y
OAK201903200,OAK,1,1,2,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,4,melvb001,value,38,35,7,9,3,0,3,7,0,0,0,3,0,8,0,0,2,0,1,27,0,41,7,1,0,2,9,9,6,0,10,2,2,0,1,1,2,1,0,27,4,0,0,0,0,2,2,1,laurr001,chapm001,piscs001,davik003,pindc001,olsom001,profj001,semim001,hundn001,fierm001,hundn001,olsom001,profj001,chapm001,semim001,pindc001,laurr001,piscs001,davik003,20190320,0,TOK01,h,SEA,0,1,0,regular,y,y
OAK201903210,SEA,0,2,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,10,servs002,value,51,43,5,9,4,0,2,5,0,1,2,5,0,9,1,0,1,0,0,36,0,52,10,1,0,0,4,3,6,0,10,0,2,0,0,0,0,0,0,36,12,1,1,0,0,2,0,0,gordd002,hanim001,brucj001,encae001,santd002,narvo001,beckt001,healr001,suzui001,kikuy001,narvo001,brucj001,gordd002,healr001,beckt001,santd002,hanim001,suzui001,encae001,20190321,0,TOK01,v,OAK,1,0,0,regular,y,y
OAK201903210,OAK,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,12,melvb001,value,52,46,4,10,1,0,0,3,0,0,0,6,0,10,0,0,1,0,1,36,0,51,9,4,0,2,5,5,5,0,9,2,0,1,0,1,1,0,0,36,8,0,1,0,0,0,1,0,semim001,chapm001,piscs001,davik003,pindc001,olsom001,profj001,laurr001,phegj001,estrm001,phegj001,olsom001,profj001,chapm001,semim001,pindc001,laurr001,piscs001,davik003,20190321,0,TOK01,h,SEA,0,1,0,regular,y,y
CIN201903280,PIT,0,0,0,0,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,9,hurdc001,value,39,31,3,5,0,0,1,3,1,0,0,7,0,11,0,0,0,0,0,24,0,34,6,3,0,2,5,5,3,0,8,0,1,0,0,0,0,1,0,24,6,2,0,0,0,1,0,1,fraza001,cabrm002,dickc002,bellj005,cervf001,kangj001,shucj001,gonze004,tailj001,tailj001,cervf001,bellj005,fraza001,kangj001,gonze004,dickc002,shucj001,cabrm002,,20190328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN201903280,CIN,0,1,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,5,belld002,value,34,31,5,6,3,0,2,5,0,0,0,3,0,8,0,1,0,0,2,27,0,39,5,0,0,1,3,3,7,0,11,0,0,0,1,0,0,0,0,27,8,0,0,0,0,0,0,0,winkj002,vottj001,puigy001,suare001,sches001,peraj003,barnt001,iglej001,castl003,castl003,barnt001,vottj001,peraj003,suare001,iglej001,winkj002,sches001,puigy001,,20190328,0,CIN09,h,PIT,1,0,0,regular,y,y
KCA201903280,CHA,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,6,rentr001,value,36,31,3,4,0,0,0,3,0,0,1,4,0,5,0,0,0,0,0,24,0,36,5,1,2,0,5,4,3,0,7,1,0,0,0,1,2,0,0,24,6,3,0,0,0,0,2,0,garcl004,moncy001,abrej003,alony001,jimee001,palkd001,andet001,mccaj001,sancc001,rodoc001,mccaj001,abrej003,sancc001,moncy001,andet001,jimee001,garcl004,palkd001,alony001,20190328,0,KAN06,v,KCA,0,1,0,regular,y,y
KCA201903280,KCA,0,0,0,1,0,2,2,0,,,,,,,,,,,,,,,,,,,,,7,yoste001,value,36,31,5,5,1,2,0,4,0,1,1,3,0,7,2,0,0,0,3,27,0,36,4,0,0,0,3,3,4,0,5,1,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,merrw001,mondr003,gorda001,solej001,schwf001,owinc001,dozih001,maldm001,hamib001,kellb003,maldm001,schwf001,owinc001,dozih001,mondr003,gorda001,hamib001,merrw001,solej001,20190328,0,KAN06,h,CHA,1,0,0,regular,y,y
LAN201903280,ARI,0,0,0,0,0,1,1,0,3,,,,,,,,,,,,,,,,,,,,3,lovut001,value,35,33,5,9,4,0,2,5,0,2,0,0,0,10,0,0,1,0,0,24,0,39,12,1,0,8,12,12,3,0,3,0,0,0,1,0,0,0,0,24,7,0,0,0,0,0,0,0,jonea003,escoe001,florw001,perad001,walkc002,martk001,ahmen001,murpj001,greiz001,greiz001,murpj001,walkc002,florw001,escoe001,ahmen001,perad001,martk001,jonea003,,20190328,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN201903280,LAN,1,2,0,4,0,2,3,0,,,,,,,,,,,,,,,,,,,,,3,robed001,value,39,35,12,12,1,0,8,12,1,0,0,3,0,3,0,0,0,0,0,27,0,35,9,4,0,2,5,5,0,0,10,0,0,0,0,2,0,0,0,27,8,0,1,0,0,0,0,0,pedej001,seagc001,turnj001,muncm001,polla001,bellc002,herne001,barna001,ryu-h001,ryu-h001,barna001,muncm001,herne001,turnj001,seagc001,pedej001,polla001,bellc002,,20190328,0,LOS03,h,ARI,1,0,0,regular,y,y
MIA201903280,COL,0,0,0,4,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,blacb001,value,39,36,6,9,5,0,1,5,0,0,0,3,0,7,0,0,0,0,1,27,0,34,4,0,0,3,3,3,1,0,7,1,0,0,0,0,0,0,0,27,12,1,0,0,0,0,0,0,blacc001,murpd006,arenn001,stort001,dahld001,desmi001,mcmar001,iannc001,freek001,freek001,iannc001,murpd006,mcmar001,arenn001,stort001,dahld001,desmi001,blacc001,,20190328,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201903280,MIA,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,4,mattd001,value,34,32,3,4,0,0,3,3,0,0,1,1,0,7,0,0,0,0,1,27,0,39,9,5,0,1,6,5,3,0,7,0,1,0,0,0,0,0,0,27,7,2,1,0,0,1,0,0,brinl001,andeb006,casts001,coopg002,pradm001,alfaj002,rojam002,herrr002,urenj001,urenj001,alfaj002,pradm001,casts001,andeb006,rojam002,herrr002,brinl001,coopg002,,20190328,0,MIA02,h,COL,0,1,0,regular,y,y
MIL201903280,SLN,0,3,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,3,shilm801,value,34,32,4,5,0,0,3,4,0,0,0,2,0,11,0,0,0,0,0,24,0,32,7,0,0,3,5,5,2,0,5,0,0,0,0,0,0,0,0,24,13,0,1,0,0,0,0,0,carpm002,goldp001,dejop001,ozunm001,moliy001,fowld001,wongk001,badeh001,mikom001,mikom001,moliy001,goldp001,wongk001,carpm002,dejop001,ozunm001,badeh001,fowld001,,20190328,0,MIL06,v,MIL,0,1,0,regular,y,y
MIL201903280,MIL,0,1,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,3,counc001,value,32,30,5,7,0,0,3,5,0,0,0,2,0,5,0,0,1,0,0,27,0,34,5,0,0,3,4,4,2,0,11,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,cainl001,yelic001,braur002,shawt001,aguij001,mousm001,grany001,arcio002,chacj001,chacj001,grany001,aguij001,mousm001,shawt001,arcio002,braur002,cainl001,yelic001,,20190328,0,MIL06,h,SLN,1,0,0,regular,y,y
MIN201903280,CLE,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,frant001,value,30,29,0,2,1,0,0,0,0,0,0,1,0,13,0,0,0,0,0,24,0,31,4,2,0,0,2,2,1,0,6,2,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,martl004,ramij003,naqut001,santc002,ramih003,bauej001,perer003,millb002,stame001,klubc001,perer003,santc002,millb002,ramij003,stame001,bauej001,martl004,naqut001,ramih003,20190328,0,MIN04,v,MIN,0,1,0,regular,y,y
MIN201903280,MIN,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,5,baldr001,value,31,28,2,4,2,0,0,2,0,0,2,1,0,6,0,0,0,0,0,27,0,30,2,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,keplm001,polaj001,cruzn002,rosae001,cronc002,gonzm002,schoj001,castj006,buxtb001,berrj001,castj006,cronc002,schoj001,gonzm002,polaj001,rosae001,buxtb001,keplm001,cruzn002,20190328,0,MIN04,h,CLE,1,0,0,regular,y,y
NYA201903280,BAL,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,6,hydeb801,value,35,34,2,8,1,0,0,2,0,0,0,1,0,9,0,0,0,0,0,24,0,39,9,1,0,2,7,7,8,0,8,1,0,0,0,1,0,0,1,24,10,0,2,0,1,0,0,0,mullc002,smitd007,villj001,manct001,ruizr002,rickj001,davic003,sucrj001,martr006,casha001,sucrj001,davic003,villj001,ruizr002,martr006,smitd007,mullc002,rickj001,manct001,20190328,0,NYC21,v,NYA,0,1,0,regular,y,y
NYA201903280,NYA,3,0,1,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,8,boona001,value,39,29,7,9,1,0,2,6,0,1,1,8,0,8,0,0,2,0,0,27,0,35,8,1,0,0,2,1,1,0,9,0,0,0,0,0,0,0,0,27,9,1,0,0,0,0,0,0,gardb001,judga001,stanm004,voitl001,andum001,sancg002,birdg001,torrg001,tulot001,tanam001,sancg002,birdg001,torrg001,andum001,tulot001,stanm004,gardb001,judga001,voitl001,20190328,0,NYC21,h,BAL,1,0,0,regular,y,y
OAK201903280,ANA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,ausmb001,value,33,28,0,3,1,0,0,0,0,0,1,4,0,3,0,0,2,0,0,24,0,32,7,1,1,2,4,4,1,0,4,0,0,0,0,1,1,0,0,24,5,0,0,0,0,0,1,0,calhk001,troum001,bourj002,simma001,pujoa001,cozaz001,lastt001,lucrj001,bourp001,cahit001,lucrj001,bourj002,lastt001,cozaz001,simma001,bourp001,troum001,calhk001,pujoa001,20190328,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201903280,OAK,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,4,melvb001,value,32,30,4,7,1,1,2,4,0,1,0,1,0,4,1,0,0,0,0,27,0,33,3,1,0,0,0,0,4,0,3,1,1,0,0,0,0,0,0,27,8,1,2,0,0,1,0,0,grosr001,chapm001,piscs001,davik003,profj001,pindc001,semim001,laurr001,phegj001,fierm001,phegj001,profj001,pindc001,chapm001,semim001,grosr001,laurr001,piscs001,davik003,20190328,0,OAK01,h,ANA,1,0,0,regular,y,y
PHI201903280,ATL,0,1,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,5,snitb801,value,36,30,4,7,1,0,1,4,0,0,0,6,0,9,1,1,1,0,0,24,0,37,7,0,0,3,10,10,6,2,9,0,2,0,0,0,0,0,0,24,8,2,0,0,0,2,0,0,incie001,donaj001,freef001,acunr001,markn001,albio001,mccab002,swand001,tehej001,tehej001,mccab002,freef001,albio001,donaj001,swand001,acunr001,incie001,markn001,,20190328,0,PHI13,v,PHI,0,1,0,regular,y,y
PHI201903280,PHI,1,0,0,2,0,3,4,0,,,,,,,,,,,,,,,,,,,,,3,kaplg001,value,37,31,10,7,0,0,3,10,0,0,0,6,2,9,0,0,0,0,0,27,0,36,7,1,0,1,4,4,6,0,9,0,0,0,0,0,1,1,0,27,13,0,2,0,0,0,1,1,mccua001,seguj002,harpb003,hoskr001,realj001,herro001,hernc005,franm004,nolaa001,nolaa001,realj001,hoskr001,hernc005,franm004,seguj002,mccua001,herro001,harpb003,,20190328,0,PHI13,h,ATL,1,0,0,regular,y,y
SDN201903280,SFN,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,bochb002,value,31,30,0,5,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,24,0,28,6,1,0,1,2,2,1,0,9,0,0,0,0,0,0,1,0,24,7,0,2,0,0,0,0,1,duggs001,beltb001,longe001,poseb001,crawb001,joe-c001,reedm001,panij002,bumgm001,bumgm001,poseb001,beltb001,panij002,longe001,crawb001,joe-c001,duggs001,reedm001,,20190328,0,SAN02,v,SDN,0,1,0,regular,y,y
SDN201903280,SDN,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,2,greea001,value,28,27,2,6,1,0,1,2,0,0,0,1,0,9,0,1,2,0,0,27,0,31,5,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,kinsi001,myerw001,machm001,reyef001,hosme001,tatif002,margm001,hedga001,lauee001,lauee001,hedga001,hosme001,kinsi001,machm001,tatif002,myerw001,margm001,reyef001,,20190328,0,SAN02,h,SFN,1,0,0,regular,y,y
SEA201903280,BOS,1,1,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,9,coraa001,value,40,38,4,11,3,0,0,4,0,1,0,1,0,8,2,0,1,0,2,24,0,43,12,2,1,5,12,11,4,0,9,2,0,0,0,1,0,0,0,24,8,2,0,0,0,0,0,0,benia002,bettm001,dever001,martj006,bogax001,morem001,nunee002,bradj001,vazqc001,salec001,vazqc001,morem001,nunee002,dever001,bogax001,benia002,bradj001,bettm001,martj006,20190328,0,SEA03,v,SEA,0,1,0,regular,y,y
SEA201903280,SEA,0,3,4,0,1,2,2,0,,,,,,,,,,,,,,,,,,,,,7,servs002,value,43,36,12,12,2,1,5,11,0,1,2,4,0,9,0,0,0,0,2,27,0,40,11,3,0,0,4,3,1,0,8,0,0,1,0,1,2,0,0,27,7,2,1,0,0,0,2,0,hanim001,santd002,encae001,brucj001,healr001,beckt001,smitm007,freid001,gordd002,gonzm005,freid001,brucj001,gordd002,healr001,beckt001,santd002,smitm007,hanim001,encae001,20190328,0,SEA03,h,BOS,1,0,0,regular,y,y
TBA201903280,HOU,0,0,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,hinca001,value,37,35,5,10,3,0,3,5,0,0,0,2,0,8,0,2,0,0,0,27,0,34,4,1,0,1,1,1,1,0,12,2,0,0,0,0,0,0,0,27,9,1,0,0,0,0,0,0,sprig001,altuj001,brega001,branm003,gurry001,whitt002,chirr001,diaza003,marij002,verlj001,chirr001,gurry001,altuj001,brega001,diaza003,branm003,marij002,sprig001,whitt002,20190328,0,STP01,v,TBA,1,0,0,regular,y,y
TBA201903280,TBA,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,cashk001,value,34,31,1,4,1,0,1,1,0,0,2,1,0,12,0,0,0,0,1,27,0,37,10,3,0,3,5,5,2,0,8,0,0,0,0,0,0,2,0,27,9,0,0,0,0,0,0,2,meada001,phamt001,choij001,loweb001,diazy001,wendj002,adamw002,kierk001,zunim001,snelb001,zunim001,choij001,wendj002,diazy001,adamw002,phamt001,kierk001,meada001,loweb001,20190328,0,STP01,h,HOU,0,1,0,regular,y,y
TEX201903280,CHN,0,0,0,1,6,2,1,2,0,,,,,,,,,,,,,,,,,,,,7,maddj801,value,46,37,12,13,3,0,3,11,0,0,1,8,0,7,0,1,2,0,0,27,0,34,6,1,0,2,4,4,2,0,6,0,0,0,0,0,0,1,0,27,8,0,0,0,0,0,0,1,almoa002,bryak001,rizza001,baezj001,contw001,boted002,zobrb001,heywj001,zagum002,lestj001,contw001,rizza001,boted002,bryak001,baezj001,zagum002,almoa002,heywj001,zobrb001,20190328,0,ARL02,v,TEX,1,0,0,regular,y,y
TEX201903280,TEX,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,3,woodc001,value,34,32,4,6,1,0,2,4,0,0,0,2,0,6,0,1,0,0,0,27,0,46,13,3,0,3,12,12,8,0,7,1,0,0,0,0,0,1,0,27,12,0,2,0,0,0,0,1,deshd002,odorr001,andre001,gallj002,pench001,mazan001,cabra002,guzmr001,mathj001,minom001,mathj001,guzmr001,odorr001,cabra002,andre001,gallj002,deshd002,mazan001,pench001,20190328,0,ARL02,h,CHN,0,1,0,regular,y,y
TOR201903280,DET,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,5,gardr001,value,37,32,2,4,1,0,1,2,0,0,1,4,0,15,0,1,1,0,0,30,0,33,2,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,harrj002,castn001,cabrm001,candj002,goodn002,stewc002,greig001,mercj002,mahtm001,zimmj003,greig001,cabrm001,harrj002,candj002,mercj002,stewc002,mahtm001,castn001,goodn002,20190328,0,TOR02,v,TOR,1,0,0,regular,y,y
TOR201903280,TOR,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3,montc001,value,33,32,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,30,0,37,4,1,0,1,2,2,4,0,15,1,0,0,0,0,0,1,0,30,11,0,1,0,0,0,0,1,drurb001,gricr001,hernt002,smoaj001,gurrl001,pillk001,tellr001,jansd001,galvf001,strom001,jansd001,smoaj001,gurrl001,drurb001,galvf001,hernt002,pillk001,gricr001,tellr001,20190328,0,TOR02,h,DET,0,1,0,regular,y,y
WAS201903280,NYN,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,5,callm001,value,34,31,2,5,0,0,1,2,0,0,0,3,0,12,0,1,0,0,0,27,0,33,5,1,0,0,0,0,1,0,14,1,0,0,0,0,3,0,0,27,5,0,1,0,0,0,3,0,nimmb001,alonp001,canor001,confm001,ramow001,mcnej002,rosaa003,lagaj001,degrj001,degrj001,ramow001,alonp001,canor001,mcnej002,rosaa003,nimmb001,lagaj001,confm001,,20190328,0,WAS11,v,WAS,1,0,0,regular,y,y
WAS201903280,WAS,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,martd002,value,33,31,0,5,1,0,0,0,0,0,1,1,0,14,3,0,0,0,0,27,0,34,5,0,0,1,2,2,3,0,12,0,0,0,0,0,0,1,0,27,9,0,0,0,0,0,0,1,eatoa002,turnt001,renda001,sotoj001,zimmr001,gomey001,dozib001,schem001,roblv001,schem001,gomey001,zimmr001,dozib001,renda001,turnt001,sotoj001,roblv001,eatoa002,,20190328,0,WAS11,h,NYN,0,1,0,regular,y,y
LAN201903290,ARI,0,0,0,0,0,0,3,1,0,0,0,0,1,,,,,,,,,,,,,,,,12,lovut001,value,56,50,5,10,3,0,1,5,0,0,0,6,2,15,1,0,0,0,1,39,0,60,11,1,0,1,4,4,12,0,14,1,2,0,2,0,1,1,0,39,14,0,1,0,0,2,1,1,dysoj001,escoe001,perad001,jonea003,lambj001,martk001,ahmen001,avila001,ray-r002,ray-r002,avila001,lambj001,martk001,escoe001,ahmen001,perad001,dysoj001,jonea003,,20190329,0,LOS03,v,LAN,1,0,0,regular,y,y
LAN201903290,LAN,0,1,2,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,17,robed001,value,60,45,4,11,1,0,1,4,2,0,1,12,0,14,1,1,1,0,0,39,0,56,10,3,0,1,5,2,6,2,15,0,0,0,0,0,1,0,1,39,15,0,0,0,1,0,1,0,herne001,turnj001,freed001,polla001,seagc001,taylc001,bellc002,martr004,strir001,strir001,martr004,freed001,herne001,turnj001,seagc001,taylc001,polla001,bellc002,,20190329,0,LOS03,h,ARI,0,1,0,regular,y,y
MIA201903290,COL,0,0,0,0,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,9,blacb001,value,42,38,6,11,4,0,0,6,0,0,0,4,0,5,1,0,0,0,0,27,0,31,2,0,0,1,1,1,3,0,9,1,2,0,0,0,0,2,0,27,17,0,1,0,0,2,0,2,blacc001,murpd006,arenn001,stort001,dahld001,desmi001,mcmar001,woltt001,marqg001,marqg001,woltt001,murpd006,mcmar001,arenn001,stort001,dahld001,desmi001,blacc001,,20190329,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201903290,MIA,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,mattd001,value,31,27,1,2,0,0,1,1,0,0,1,3,0,9,0,2,0,0,0,27,0,42,11,4,0,0,6,6,4,0,5,0,1,0,0,0,1,0,0,27,8,0,0,0,0,1,1,0,granc001,andeb006,walkn001,casts001,coopg002,riddj001,alfaj002,brinl001,richt001,richt001,alfaj002,walkn001,casts001,andeb006,riddj001,granc001,brinl001,coopg002,,20190329,0,MIA02,h,COL,0,1,0,regular,y,y
MIL201903290,SLN,3,0,0,1,0,1,3,1,0,,,,,,,,,,,,,,,,,,,,13,shilm801,value,49,40,9,14,3,0,3,8,1,0,1,7,1,10,0,0,0,0,0,27,0,35,8,1,0,2,5,5,2,0,8,1,1,0,0,1,0,1,0,27,10,0,2,0,0,1,0,1,carpm002,goldp001,dejop001,ozunm001,moliy001,fowld001,wongk001,badeh001,flahj002,flahj002,moliy001,goldp001,wongk001,carpm002,dejop001,ozunm001,badeh001,fowld001,,20190329,0,MIL06,v,MIL,1,0,0,regular,y,y
MIL201903290,MIL,0,0,3,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,3,counc001,value,35,31,5,8,1,0,2,5,0,1,1,2,0,8,0,1,2,0,0,27,0,49,14,3,0,3,9,9,7,1,10,1,1,1,1,0,0,0,0,27,8,0,0,0,0,1,0,0,cainl001,yelic001,braur002,shawt001,aguij001,mousm001,grany001,arcio002,peraf001,peraf001,grany001,aguij001,mousm001,shawt001,arcio002,braur002,cainl001,yelic001,,20190329,0,MIL06,h,SLN,0,1,0,regular,y,y
OAK201903290,ANA,0,0,0,0,0,0,0,4,2,,,,,,,,,,,,,,,,,,,,6,ausmb001,value,39,35,6,10,2,0,0,6,0,0,0,4,1,3,0,0,3,0,1,27,0,36,7,1,0,1,2,2,4,0,5,0,0,0,0,0,0,0,0,27,10,0,2,0,0,0,0,0,calhk001,troum001,bourj002,simma001,pujoa001,cozaz001,lastt001,lucrj001,goodb001,harvm001,lucrj001,bourj002,lastt001,cozaz001,simma001,goodb001,troum001,calhk001,pujoa001,20190329,0,OAK01,v,OAK,1,0,0,regular,y,y
OAK201903290,OAK,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,7,melvb001,value,36,32,2,7,1,0,1,2,0,0,0,4,0,5,0,0,2,0,0,27,0,39,10,2,0,0,6,6,4,1,3,0,1,0,0,0,0,0,0,27,10,0,3,0,0,1,0,0,grosr001,chapm001,piscs001,davik003,morak001,profj001,semim001,laurr001,hundn001,estrm001,hundn001,morak001,profj001,chapm001,semim001,grosr001,laurr001,piscs001,davik003,20190329,0,OAK01,h,ANA,0,1,0,regular,y,y
SDN201903290,SFN,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,9,bochb002,value,37,33,1,6,3,0,1,1,0,0,1,3,0,12,0,0,0,0,0,24,0,34,8,2,0,1,4,4,4,0,9,1,0,0,0,1,1,0,0,24,8,0,2,0,0,0,1,0,reedm001,poseb001,solay001,longe001,crawb001,joe-c001,duggs001,krate001,holld003,holld003,krate001,poseb001,solay001,longe001,crawb001,joe-c001,duggs001,reedm001,,20190329,0,SAN02,v,SDN,0,1,0,regular,y,y
SDN201903290,SDN,0,2,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,6,greea001,value,34,28,4,8,2,0,1,4,0,1,1,4,0,9,1,0,0,0,0,27,0,37,6,3,0,1,1,1,3,0,12,1,0,0,0,0,0,0,0,27,11,0,0,0,0,0,0,0,kinsi001,myerw001,machm001,reyef001,hosme001,tatif002,margm001,hedga001,luccj001,luccj001,hedga001,hosme001,kinsi001,machm001,tatif002,myerw001,margm001,reyef001,,20190329,0,SAN02,h,SFN,1,0,0,regular,y,y
SEA201903290,BOS,0,1,0,0,1,1,0,1,3,,,,,,,,,,,,,,,,,,,,4,coraa001,value,38,34,7,8,1,0,4,6,0,0,1,3,0,8,0,0,2,0,1,27,0,40,8,2,0,3,6,6,4,0,10,0,0,0,0,2,1,0,0,27,8,1,0,0,0,0,1,0,benia002,bettm001,martj006,bogax001,nunee002,dever001,travs001,bradj001,vazqc001,eovan001,vazqc001,travs001,nunee002,dever001,bogax001,benia002,bradj001,bettm001,martj006,20190329,0,SEA03,v,SEA,1,0,0,regular,y,y
SEA201903290,SEA,2,1,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,servs002,value,40,34,6,8,2,0,3,6,0,2,0,4,0,10,1,0,0,0,1,27,0,38,8,1,0,4,7,6,3,0,8,1,1,0,0,0,0,0,1,27,8,1,2,0,1,1,0,0,smitm007,hanim001,santd002,brucj001,encae001,beckt001,narvo001,healr001,gordd002,kikuy001,narvo001,brucj001,gordd002,healr001,beckt001,santd002,smitm007,hanim001,encae001,20190329,0,SEA03,h,BOS,0,1,0,regular,y,y
TBA201903290,HOU,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,hinca001,value,36,31,2,6,1,0,0,2,0,0,1,4,0,10,1,0,1,0,0,24,0,32,6,0,0,1,4,1,1,0,13,0,1,0,0,0,1,0,0,24,3,2,0,0,0,1,1,0,sprig001,altuj001,brega001,branm003,gurry001,reddj001,diaza003,stasm001,kempt001,coleg001,stasm001,gurry001,altuj001,brega001,diaza003,branm003,sprig001,reddj001,kempt001,20190329,0,STP01,v,TBA,0,1,0,regular,y,y
TBA201903290,TBA,0,0,3,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,4,cashk001,value,32,31,4,6,0,0,1,4,0,0,0,1,0,13,1,0,0,0,2,27,0,36,6,1,0,0,2,2,4,0,10,1,0,0,0,0,1,0,0,27,12,0,1,0,0,0,1,0,meada001,phamt001,choij001,diazy001,garca003,robed004,kierk001,adamw002,zunim001,mortc002,zunim001,choij001,robed004,diazy001,adamw002,phamt001,kierk001,garca003,meada001,20190329,0,STP01,h,HOU,1,0,0,regular,y,y
TOR201903290,DET,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,gardr001,value,31,29,0,2,1,1,0,0,0,0,0,2,0,9,0,0,0,0,0,24,0,34,7,0,1,0,6,5,3,0,12,0,0,0,0,0,0,0,0,24,7,1,0,0,0,0,0,0,harrj002,castn001,cabrm001,candj002,goodn002,stewc002,hickj001,mercj002,mahtm001,boydm001,hickj001,cabrm001,harrj002,candj002,mercj002,stewc002,mahtm001,castn001,goodn002,20190329,0,TOR02,v,TOR,0,1,0,regular,y,y
